Chanage,Elevation
32665.9,661.9
32664.9,662.0
32666.9,662.1
32663.9,662.4
32667.9,662.5
32662.9,662.8
32668.9,663.1
32661.9,663.1
32660.9,663.2
32659.9,663.3
32658.9,663.4
32669.9,663.6
32657.9,663.6
32656.9,663.8
32655.9,664.0
32670.9,664.1
32654.9,664.1
32634.0,664.2
32653.9,664.3
32636.0,664.3
32635.0,664.3
32633.0,664.3
32637.0,664.3
32638.0,664.4
32652.9,664.4
32632.0,664.4
32671.9,664.6
32639.0,664.6
32651.9,664.7
32640.0,664.7
32631.0,664.8
32650.9,664.9
32641.0,665.0
32672.9,665.0
32630.0,665.1
32650.0,665.1
32649.0,665.2
32642.0,665.3
32629.0,665.3
32673.9,665.4
32648.0,665.4
32647.0,665.4
32646.0,665.4
32643.0,665.4
32645.0,665.5
32644.0,665.6
32628.0,665.6
32674.9,665.7
32627.0,665.8
32626.0,665.9
32625.0,665.9
32675.9,666.1
32624.0,666.1
32623.0,666.2
32622.0,666.4
32621.0,666.5
32676.9,666.6
32620.0,666.6
32619.0,666.7
32618.0,666.7
32617.0,666.8
32616.0,666.9
32615.0,667.0
32614.0,667.2
32613.0,667.3
32677.9,667.3
32612.0,667.3
32611.0,667.5
32610.0,667.6
32609.0,667.6
32608.0,667.7
32607.0,667.8
32678.9,668.0
32606.0,668.0
32605.0,668.3
32604.0,668.4
32679.9,668.6
32603.0,668.7
32602.0,669.0
32680.9,669.0
32601.0,669.1
32681.9,669.2
32592.1,669.2
32682.9,669.2
32686.9,669.2
32684.9,669.2
32600.1,669.2
32685.9,669.2
32687.9,669.3
32683.9,669.3
32593.1,669.3
32594.1,669.3
32688.9,669.3
32599.1,669.3
32598.1,669.4
32689.9,669.4
32597.1,669.4
32595.1,669.5
32596.1,669.5
32591.1,669.5
32690.9,669.7
32590.1,669.7
32589.1,670.0
32691.9,670.1
32588.1,670.3
32587.1,670.4
32692.9,670.6
32586.1,670.6
32585.1,670.8
32584.1,670.9
32583.1,671.1
32693.9,671.2
32582.1,671.2
32581.1,671.3
32580.1,671.5
32694.9,671.5
32579.1,671.5
32578.1,671.6
32577.1,671.7
32576.1,671.8
32695.9,672.0
32575.1,672.1
32574.1,672.2
32573.1,672.3
32696.9,672.3
32572.1,672.5
32697.9,672.6
32571.1,672.6
32698.9,672.8
32570.1,672.8
32699.9,672.9
32569.1,673.0
32700.9,673.1
32563.1,673.1
32568.1,673.1
32564.1,673.1
32701.8,673.2
32562.1,673.2
32565.1,673.2
32702.8,673.2
32566.1,673.2
32567.1,673.3
32703.8,673.3
32561.1,673.3
32560.1,673.4
32559.1,673.4
32558.1,673.5
32704.8,673.5
32557.1,673.5
32556.1,673.6
32705.8,673.7
32706.8,673.9
32555.1,673.9
32554.1,674.1
32547.2,674.2
32546.2,674.2
32549.2,674.2
32548.2,674.2
32553.1,674.2
32707.8,674.3
32545.2,674.3
32550.2,674.4
32552.1,674.4
32551.1,674.4
32539.2,674.4
32538.2,674.4
32544.2,674.5
32540.2,674.5
32541.2,674.6
32537.2,674.6
32543.2,674.6
32542.2,674.6
32708.8,674.7
32536.2,674.8
32709.8,675.0
32535.2,675.0
32710.8,675.1
32534.2,675.2
32711.8,675.2
32533.2,675.3
32532.2,675.5
32531.2,675.6
32530.2,675.6
32712.8,675.6
32529.2,675.7
32528.2,675.7
32527.2,675.7
32526.2,675.8
32713.8,675.9
32525.2,675.9
32953.4,676.0
32954.4,676.0
32714.8,676.0
32955.4,676.0
32952.4,676.0
32951.4,676.1
32968.3,676.1
32967.3,676.1
32950.4,676.1
32966.3,676.1
32956.4,676.1
32959.3,676.1
32947.4,676.1
32969.3,676.1
32949.4,676.1
32958.3,676.1
32948.4,676.1
32957.3,676.1
32960.3,676.1
32965.3,676.2
32946.4,676.2
32970.3,676.2
32715.8,676.2
32524.2,676.2
32964.3,676.3
32971.3,676.3
32961.3,676.3
32972.3,676.3
32963.3,676.3
32962.3,676.3
32945.4,676.3
32716.8,676.4
