Chainage,Elevation
0,1012
0.02,1011
0.04,1011
0.06,1011
0.08,1012
0.1,1013
0.12,1013
0.14,1014
0.16,1015
0.18,1015
0.2,1015
0.22,1015
0.24,1016
0.26,1017
0.28,1018
0.3,1019
0.32,1018
0.34,1017
0.36,1016
0.38,1014
0.4,1015
0.42,1016
0.44,1018
0.46,1019
0.48,1018
0.5,1017
0.52,1017
0.54,1015
0.56,1015
0.58,1014
0.6,1011
0.62,1001
0.64,1000
0.66,1001
0.68,1003
0.7,1003
0.72,1005
0.74,1007
0.76,1007
0.78,1007
0.8,1005
0.82,1002
0.84,1000
0.86,999
0.88,996
0.9,995
0.92,991
0.94,990
0.96,987
0.98,983
1,980
1.02,980
1.04,977
1.06,977
1.08,977
1.1,976
1.12,975
1.14,974
1.16,974
1.18,971
1.2,972
1.22,971
1.24,969
1.26,967
1.28,966
1.3,966
1.32,966
1.34,966
1.36,966
1.38,966
1.4,964
1.42,963
1.44,961
1.46,958
1.48,958
1.5,955
1.52,950
1.54,949
1.56,951
1.58,952
1.6,951
1.62,951
1.64,948
1.66,948
1.68,942
1.7,937
1.72,938
1.74,940
1.76,942
1.78,943
1.8,943
1.82,942
1.84,942
1.86,941
1.88,939
1.9,937
1.92,937
1.94,935
1.96,933
1.98,933
2,933
2.02,932
2.04,932
2.06,930
2.08,929
2.1,929
2.12,928
2.14,928
2.16,928
2.18,928
2.2,928
2.22,927
2.24,927
2.26,926
2.28,927
2.3,928
2.32,928
2.34,930
2.36,931
2.38,931
2.4,932
2.42,934
2.44,934
2.46,934
2.48,934
2.5,936
2.52,937
2.54,937
2.56,937
2.58,939
2.6,943
2.62,945
2.64,946
2.66,949
2.68,952
2.7,956
2.72,956
2.74,960
2.76,963
2.78,966
2.8,967
2.82,971
2.84,975
2.86,981
2.88,987
2.9,988
2.92,991
2.94,994
2.96,998
2.98,998
3,1003
3.02,1007
3.04,1009
3.06,1010
3.08,1010
3.1,1010
3.12,1011
3.14,1012
3.16,1010
3.18,1008
3.2,1002
3.22,999
3.24,999
3.26,996
3.28,993
3.3,990
3.32,987
3.34,987
3.36,984
3.38,981
3.4,979
3.42,978
3.44,977
3.46,976
3.48,974
3.5,972
3.52,972
3.54,969
3.56,966
3.58,964
3.6,965
3.62,963
3.64,962
3.66,960
3.68,961
3.7,959
3.72,957
3.74,955
3.76,954
3.78,952
3.8,950
3.82,947
3.84,947
3.86,945
3.88,943
3.9,941
3.92,941
3.94,939
3.96,934
3.98,929
4,928
4.02,924
4.04,925
4.06,926
4.08,926
4.1,926
4.12,926
4.14,926
4.16,926
4.18,925
4.2,926
4.22,927
4.24,930
4.26,931
4.28,934
4.3,939
4.32,943
4.34,948
4.36,948
4.38,952
4.4,955
4.42,955
4.44,955
4.46,955
4.48,955
4.5,955
4.52,954
4.54,952
4.56,951
4.58,953
4.6,955
4.62,956
4.64,959
4.66,959
4.68,960
4.7,962
4.72,961
4.74,964
4.76,962
4.78,963
4.8,961
4.82,962
4.84,957
4.86,958
4.88,956
4.9,956
4.92,957
4.94,958
4.96,957
4.98,956
5,955
5.02,955
5.04,954
5.06,954
5.08,953
5.1,952
5.12,952
5.14,950
5.16,948
5.18,947
5.2,945
5.22,944
5.24,942
5.26,942
5.28,942
5.3,940
5.32,939
5.34,938
5.36,937
5.38,934
5.4,930
5.42,930
5.44,927
5.46,924
5.48,921
5.5,917
5.52,916
5.54,913
5.56,912
5.58,910
5.6,910
5.62,909
5.64,908
5.66,908
5.68,908
5.7,908
5.72,908
5.74,906
5.76,905
5.78,907
5.8,908
5.82,912
5.84,916
5.86,917
5.88,918
5.9,919
5.92,920
5.94,922
5.96,922
5.98,924
6,923
6.02,923
6.04,922
6.06,922
6.08,920
6.1,917
6.12,920
6.14,925
6.16,925
6.18,926
6.2,929
6.22,932
6.24,932
6.26,935
6.28,935
6.3,935
6.32,937
6.34,938
6.36,938
6.38,938
6.4,937
6.42,937
6.44,935
6.46,936
6.48,935
6.5,934
6.52,932
6.54,933
6.56,932
6.58,932
6.6,933
6.62,932
6.64,930
6.66,928
6.68,926
6.7,926
6.72,924
6.74,922
6.76,920
6.78,917
6.8,918
6.82,920
6.84,919
6.86,921
6.88,921
6.9,921
6.92,921
6.94,919
6.96,921
6.98,922
7,922
7.02,924
7.04,926
7.06,928
7.08,931
7.1,933
7.12,934
7.14,934
7.16,936
7.18,937
7.2,939
7.22,941
7.24,942
7.26,942
7.28,942
7.3,941
7.32,941
7.34,941
7.36,942
7.38,944
7.4,948
7.42,948
7.44,950
7.46,952
7.48,954
7.5,955
7.52,954
7.54,955
7.56,955
7.58,955
7.6,955
7.62,957
7.64,959
7.66,960
7.68,961
7.7,962
7.72,962
7.74,961
7.76,962
7.78,961
7.8,959
7.82,959
7.84,959
7.86,959
7.88,957
7.9,955
7.92,953
7.94,952
7.96,953
7.98,947
8,947
8.02,951
8.04,954
8.06,959
8.08,961
8.1,963
8.12,966
8.14,967
8.16,968
8.18,964
8.2,962
8.22,963
8.24,964
8.26,966
8.28,966
8.3,969
8.32,972
8.34,973
8.36,975
8.38,976
8.4,977
8.42,977
8.44,978
8.46,980
8.48,980
8.5,981
8.52,982
8.54,983
8.56,984
8.58,984
8.6,985
8.62,985
8.64,986
8.66,986
8.68,987
8.7,986
8.72,985
8.74,985
8.76,985
8.78,985
8.8,985
8.82,984
8.84,982
8.86,981
8.88,981
8.9,979
8.92,976
8.94,976
8.96,973
8.98,972
9,970
9.02,970
9.04,968
9.06,967
9.08,966
9.1,966
9.12,964
9.14,965
9.16,966
9.18,967
9.2,968
9.22,969
9.24,969
9.26,969
9.28,970
9.3,970
9.32,971
9.34,972
9.36,972
9.38,972
9.4,973
9.42,974
9.44,975
9.46,976
9.48,976
9.5,976
9.52,977
9.54,976
9.56,976
9.58,977
9.6,975
9.62,974
9.64,972
9.66,972
9.68,971
9.7,972
9.72,973
9.74,970
9.76,970
9.78,969
9.8,969
9.82,969
9.84,969
9.86,969
9.88,967
9.9,966
9.92,965
9.94,963
9.96,962
9.98,962
10,962
10.02,961
10.04,959
10.06,958
10.08,956
10.1,955
10.12,955
10.14,953
10.16,952
10.18,951
10.2,951
10.22,949
10.24,947
10.26,946
10.28,944
10.3,944
10.32,942
10.34,942
10.36,940
10.38,938
10.4,938
10.42,937
10.44,937
10.46,937
10.48,937
10.5,937
10.52,937
10.54,936
10.56,936
10.58,935
10.6,934
10.62,931
10.64,929
10.66,928
10.68,928
10.7,926
10.72,923
10.74,921
10.76,917
10.78,917
10.8,915
10.82,913
10.84,912
10.86,910
10.88,908
10.9,908
10.92,907
10.94,909
10.96,909
10.98,906
11,903
11.02,900
11.04,898
11.06,898
11.08,898
11.1,897
11.12,896
11.14,897
11.16,897
11.18,896
11.2,896
11.22,896
11.24,896
11.26,897
11.28,897
11.3,898
11.32,898
11.34,899
11.36,899
11.38,899
11.4,899
11.42,899
11.44,899
11.46,900
11.48,901
11.5,901
11.52,901
11.54,902
11.56,903
11.58,903
11.6,903
11.62,904
11.64,904
11.66,903
11.68,903
11.7,904
11.72,906
11.74,906
11.76,906
11.78,906
11.8,907
11.82,907
11.84,906
11.86,904
11.88,904
11.9,903
11.92,901
11.94,899
11.96,898
11.98,899
12,899
12.02,896
12.04,896
12.06,892
12.08,894
12.1,892
12.12,889
12.14,889
12.16,887
12.18,885
12.2,886
12.22,883
12.24,879
12.26,879
12.28,876
12.3,873
12.32,873
12.34,876
12.36,879
12.38,879
12.4,879
12.42,878
12.44,879
12.46,879
12.48,880
12.5,880
12.52,880
12.54,881
12.56,879
12.58,877
12.6,877
12.62,878
12.64,878
12.66,878
12.68,882
12.7,888
12.72,888
12.74,890
12.76,892
12.78,893
12.8,892
12.82,892
12.84,892
12.86,893
12.88,893
12.9,892
12.92,891
12.94,892
12.96,895
12.98,902
13,905
13.02,907
13.04,907
13.06,908
13.08,912
13.1,912
13.12,915
13.14,917
13.16,917
13.18,917
13.2,918
13.22,918
13.24,920
13.26,920
13.28,921
13.3,920
13.32,920
13.34,921
13.36,922
13.38,922
13.4,924
13.42,923
13.44,923
13.46,920
13.48,918
13.5,919
13.52,918
13.54,918
13.56,919
13.58,920
13.6,920
13.62,922
13.64,923
13.66,925
13.68,927
13.7,928
13.72,931
13.74,933
13.76,934
13.78,936
,
13.8,937
13.82,937
13.84,937
13.86,937
13.88,936
13.9,936
13.92,937
13.94,937
13.96,937
13.98,938
14,939
14.02,939
14.04,940
14.06,941
14.08,942
14.1,944
14.12,946
14.14,947
14.16,948
14.18,948
14.2,949
14.22,950
14.24,952
14.26,953
14.28,954
14.3,955
14.32,956
14.34,957
14.36,958
14.38,959
14.4,960
14.42,961
14.44,962
14.46,962
14.48,960
14.5,960
14.52,960
14.54,960
14.56,960
14.58,960
14.6,959
14.62,958
14.64,957
14.66,957
14.68,957
14.7,957
14.72,957
14.74,958
14.76,958
14.78,957
14.8,957
14.82,956
14.84,956
14.86,954
14.88,953
14.9,953
14.92,951
14.94,950
14.96,947
14.98,949
15,949
15.02,948
15.04,948
15.06,948
15.08,948
15.1,948
15.12,948
15.14,949
15.16,950
15.18,951
15.2,950
15.22,950
15.24,949
15.26,949
15.28,949
15.3,949
15.32,948
15.34,948
15.36,947
15.38,946
15.4,947
15.42,947
15.44,947
15.46,947
15.48,945
15.5,944
15.52,943
15.54,945
15.56,946
15.58,945
15.6,942
15.62,945
15.64,947
15.66,948
15.68,947
15.7,946
15.72,946
15.74,946
15.76,945
15.78,944
15.8,945
15.82,944
15.84,944
15.86,944
15.88,943
15.9,944
15.92,943
15.94,941
15.96,942
15.98,940
